engine_variant,engine,variant,manufacturer,region,engine_family,aspiration,displacement,displacement_l,power_hp,torque_nm,bore_mm,stroke_mm,compression_ratio,redline_rpm,hp_per_litre,configuration,valvetrain,fuel_system,block_material,head_material,production,confidence
BMW N54,BMW N54,base,BMW,European,N,Turbocharged,2979.0,3.0,,,,,,,,Straight-6,"DOHC, withVVT",,Aluminium,Aluminium,20062016,epa_verified
BMW N52 (3.0L),BMW N52,3.0L,BMW,European,N,Naturally Aspirated,3000.0,3.0,,,,,,,,Straight-6,"DOHC, withVVT&VVL",,Magnesium-Aluminium,Aluminium,20042015,epa_verified
BMW N52 (2.5L),BMW N52,2.5L,BMW,European,N,Naturally Aspirated,2500.0,2.5,,,,,,,,Straight-6,"DOHC, withVVT&VVL",,Magnesium-Aluminium,Aluminium,20042015,epa_verified
BMW N47 (2.0L),BMW N47,2.0L,BMW,European,N,Turbocharged,2000.0,2.0,,,,,,,,Straight-4,,Common raildirect injection,,,March 2007 - September 2014,epa_verified
VR6 engine,VR6 engine,base,VR6,Other,ENGINE,Naturally Aspirated,2792.0,2.8,,,,,,,,Petrol,19912002: 12 valves19992024: 24 valves,,,,19912024,epa_verified
VR38DETT,VR38DETT,base,VR38DETT,Other,VR,Turbocharged,3800.0,3.8,,,,,,,,,,,,,,epa_verified
VQ37VHR,VQ37VHR,base,VQ37VHR,Other,VQ,Naturally Aspirated,3700.0,3.7,,,,,,,,,,,,,,epa_verified
Honda J engine (3.7L),Honda J engine,3.7L,Honda,JDM,J,Naturally Aspirated,3700.0,3.7,,,,,,,,60V6,SOHC4-valvewithVTECDOHC4-valve(J30AC and J35Y8),PGM-FIMulti-point fuel injectionDirect injection,Aluminum,Aluminum,1996present,epa_verified
Honda J engine (3.5L),Honda J engine,3.5L,Honda,JDM,J,Naturally Aspirated,3500.0,3.5,,,,,,,,60V6,SOHC4-valvewithVTECDOHC4-valve(J30AC and J35Y8),PGM-FIMulti-point fuel injectionDirect injection,Aluminum,Aluminum,1996present,epa_verified
LT7,LT7,base,LT7,Other,LT,Naturally Aspirated,6200.0,6.2,,,,,,,,,,,,,,epa_verified
LT6,LT6,base,LT6,Other,LT,Naturally Aspirated,5499.0,5.5,,,,,,,,,,,,,,epa_verified
LS6,LS6,base,LS6,Other,LS,Naturally Aspirated,5665.0,5.7,,,,,,,,,,,,,,epa_verified
Honda J engine (2.5L),Honda J engine,2.5L,Honda,JDM,J,Naturally Aspirated,2500.0,2.5,,,,,,,,60V6,SOHC4-valvewithVTECDOHC4-valve(J30AC and J35Y8),PGM-FIMulti-point fuel injectionDirect injection,Aluminum,Aluminum,1996present,epa_verified
Honda F20C engine (2.2L),Honda F20C engine,2.2L,Honda,JDM,F,Naturally Aspirated,2200.0,2.2,,,,,,,,Naturally-aspiratedInline-4,DOHC4 valves x cyl.withVTEC,Fuel injection,Aluminum,Aluminum,19992009,epa_verified
K20A,K20A,base,K20A,Other,K,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
Jaguar AJ-V8 engine (5.0L),Jaguar AJ-V8 engine,5.0L,Jaguar,European,AJ,Naturally Aspirated,5000.0,5.0,,,,,,,,90V890V6,DOHC4 valves x cyl.withVVT,Multi-port fuel injection(1996-2010)Direct injection(2010-present),Aluminium alloy,Aluminium alloy,199620102005-2017 (AM05/AM14)20102012 (AJ133/AJ133S)20132024 (AJ126/AJ133S),epa_verified
Jaguar AJ-V8 engine (4.7L),Jaguar AJ-V8 engine,4.7L,Jaguar,European,AJ,Naturally Aspirated,4700.0,4.7,,,,,,,,90V890V6,DOHC4 valves x cyl.withVVT,Multi-port fuel injection(1996-2010)Direct injection(2010-present),Aluminium alloy,Aluminium alloy,199620102005-2017 (AM05/AM14)20102012 (AJ133/AJ133S)20132024 (AJ126/AJ133S),epa_verified
Jaguar AJ-V8 engine (4.4L),Jaguar AJ-V8 engine,4.4L,Jaguar,European,AJ,Naturally Aspirated,4400.0,4.4,,,,,,,,90V890V6,DOHC4 valves x cyl.withVVT,Multi-port fuel injection(1996-2010)Direct injection(2010-present),Aluminium alloy,Aluminium alloy,199620102005-2017 (AM05/AM14)20102012 (AJ133/AJ133S)20132024 (AJ126/AJ133S),epa_verified
Jaguar AJ-V8 engine (4.3L),Jaguar AJ-V8 engine,4.3L,Jaguar,European,AJ,Naturally Aspirated,4300.0,4.3,,,,,,,,90V890V6,DOHC4 valves x cyl.withVVT,Multi-port fuel injection(1996-2010)Direct injection(2010-present),Aluminium alloy,Aluminium alloy,199620102005-2017 (AM05/AM14)20102012 (AJ133/AJ133S)20132024 (AJ126/AJ133S),epa_verified
Jaguar AJ-V8 engine (4.2L),Jaguar AJ-V8 engine,4.2L,Jaguar,European,AJ,Naturally Aspirated,4200.0,4.2,,,,,,,,90V890V6,DOHC4 valves x cyl.withVVT,Multi-port fuel injection(1996-2010)Direct injection(2010-present),Aluminium alloy,Aluminium alloy,199620102005-2017 (AM05/AM14)20102012 (AJ133/AJ133S)20132024 (AJ126/AJ133S),epa_verified
Jaguar AJ-V8 engine (4.0L),Jaguar AJ-V8 engine,4.0L,Jaguar,European,AJ,Naturally Aspirated,4000.0,4.0,,,,,,,,90V890V6,DOHC4 valves x cyl.withVVT,Multi-port fuel injection(1996-2010)Direct injection(2010-present),Aluminium alloy,Aluminium alloy,199620102005-2017 (AM05/AM14)20102012 (AJ133/AJ133S)20132024 (AJ126/AJ133S),epa_verified
Jaguar AJ-V8 engine (3.9L),Jaguar AJ-V8 engine,3.9L,Jaguar,European,AJ,Naturally Aspirated,3900.0,3.9,,,,,,,,90V890V6,DOHC4 valves x cyl.withVVT,Multi-port fuel injection(1996-2010)Direct injection(2010-present),Aluminium alloy,Aluminium alloy,199620102005-2017 (AM05/AM14)20102012 (AJ133/AJ133S)20132024 (AJ126/AJ133S),epa_verified
Jaguar AJ-V8 engine (3.5L),Jaguar AJ-V8 engine,3.5L,Jaguar,European,AJ,Naturally Aspirated,3500.0,3.5,,,,,,,,90V890V6,DOHC4 valves x cyl.withVVT,Multi-port fuel injection(1996-2010)Direct injection(2010-present),Aluminium alloy,Aluminium alloy,199620102005-2017 (AM05/AM14)20102012 (AJ133/AJ133S)20132024 (AJ126/AJ133S),epa_verified
M139,M139,base,M139,Other,M,Naturally Aspirated,1500.0,1.5,,,,,,,,,,,,,,epa_verified
Lexus LFA,Lexus LFA,base,Lexus,JDM,LFA,Naturally Aspirated,4800.0,4.8,740.2,,,,,,154.2,"Front mid-engine, rear-wheel-drive",,,,,December 2010  December 2012500 units,epa_verified
Buick V6 engine (3.0L),Buick V6 engine,3.0L,Buick,American,V,Naturally Aspirated,3000.0,3.0,,,88.9,67.6,,,,90V6,OHV2 valves  cyl.,RochestercarburetorMulti-port fuel injectionSequential fuel injection,Cast iron,Cast iron,19612008,epa_verified
BMW S70/2,BMW S70/2,base,BMW,European,S,Naturally Aspirated,6100.0,6.1,,,,,,,,,,,,,,epa_verified
BMW S65 (4.4L),BMW S65,4.4L,BMW,European,S,Naturally Aspirated,4400.0,4.4,,,,,,,,90V8,DOHCw/VVT,Electronic multi-point fuel injection,Aluminium,Aluminium,20072013,epa_verified
BMW S65 (4.0L),BMW S65,4.0L,BMW,European,S,Naturally Aspirated,4000.0,4.0,,,,,,,,90V8,DOHCw/VVT,Electronic multi-point fuel injection,Aluminium,Aluminium,20072013,epa_verified
BMW N63 (4.4L),BMW N63,4.4L,BMW,European,N,Turbocharged,4400.0,4.4,,,,,,,,90V8,DOHCw/VVT,,Aluminium,Aluminium,2008present,epa_verified
Lamborghini V12 (6.5L),Lamborghini V12,6.5L,Lamborghini,European,V,Naturally Aspirated,6500.0,6.5,,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,epa_verified
Lamborghini V12 (6.2L),Lamborghini V12,6.2L,Lamborghini,European,V,Naturally Aspirated,6200.0,6.2,,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,epa_verified
Lamborghini V12 (6.0L),Lamborghini V12,6.0L,Lamborghini,European,V,Naturally Aspirated,6000.0,6.0,,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,epa_verified
Lamborghini V12 (5.7L),Lamborghini V12,5.7L,Lamborghini,European,V,Naturally Aspirated,5700.0,5.7,,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,epa_verified
Lamborghini V12 (5.2L),Lamborghini V12,5.2L,Lamborghini,European,V,Naturally Aspirated,5200.0,5.2,,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,epa_verified
Lamborghini V12 (4.8L),Lamborghini V12,4.8L,Lamborghini,European,V,Naturally Aspirated,4800.0,4.8,,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,epa_verified
Lamborghini V12 (3.9L),Lamborghini V12,3.9L,Lamborghini,European,V,Naturally Aspirated,3900.0,3.9,,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,epa_verified
Lamborghini V12 (3.5L),Lamborghini V12,3.5L,Lamborghini,European,V,Naturally Aspirated,3500.0,3.5,,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,epa_verified
Lamborghini Huracán,Lamborghini Huracán,base,Lamborghini,European,HURAC,Naturally Aspirated,5200.0,5.2,602.1,759.4,,,,,115.8,"Longitudinal,mid-engine, four-wheel-drive(LP 610-4, LP 640-4 Performante, LP 640-4 Sterrato)Rear mid-engine, rear-wheel-drive(LP 580-2, LP 620-2, LP 610-2, Tecnica, STO)",,,,,2014August 2024,epa_verified
M47 Patton,M47 Patton,base,M47,Other,PATTON,Naturally Aspirated,897.5,0.9,,2183.2,,,,,,Medium tank: 35,,,,,"8,576",epa_verified
M47,M47,base,M47,Other,M,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
M278,M278,base,M278,Other,M,Naturally Aspirated,1800.0,1.8,,,,,,,,,,,,,,epa_verified
L539,L539,base,L539,Other,L,Naturally Aspirated,5204.0,5.2,,,,,,,,,,,,,,epa_verified
K20Z1,K20Z1,base,K20Z1,Other,K,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
K20A3,K20A3,base,K20A3,Other,K,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
K20A2,K20A2,base,K20A2,Other,K,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
Chevrolet small-block engine (first- and second-generation) (4.9L),Chevrolet small-block engine (first- and second-generation),4.9L,Chevrolet,American,SMALL,Naturally Aspirated,4900.0,4.9,,,88.9,76.2,,,,90V8,OHV2 valves  cyl.DOHC4 valves cyl. (LT5),"Carburetor,fuel injection","Cast iron,aluminum","Cast iron, aluminum",19542003Flint North(engine block and heads)Saginaw Metal Casting Operations,epa_verified
Chevrolet small-block engine (first- and second-generation) (4.6L),Chevrolet small-block engine (first- and second-generation),4.6L,Chevrolet,American,SMALL,Naturally Aspirated,4600.0,4.6,,,88.9,76.2,,,,90V8,OHV2 valves  cyl.DOHC4 valves cyl. (LT5),"Carburetor,fuel injection","Cast iron,aluminum","Cast iron, aluminum",19542003Flint North(engine block and heads)Saginaw Metal Casting Operations,epa_verified
Chevrolet small-block engine (first- and second-generation) (4.4L),Chevrolet small-block engine (first- and second-generation),4.4L,Chevrolet,American,SMALL,Naturally Aspirated,4400.0,4.4,,,88.9,76.2,,,,90V8,OHV2 valves  cyl.DOHC4 valves cyl. (LT5),"Carburetor,fuel injection","Cast iron,aluminum","Cast iron, aluminum",19542003Flint North(engine block and heads)Saginaw Metal Casting Operations,epa_verified
Chevrolet small-block engine (first- and second-generation) (4.3L),Chevrolet small-block engine (first- and second-generation),4.3L,Chevrolet,American,SMALL,Naturally Aspirated,4300.0,4.3,,,88.9,76.2,,,,90V8,OHV2 valves  cyl.DOHC4 valves cyl. (LT5),"Carburetor,fuel injection","Cast iron,aluminum","Cast iron, aluminum",19542003Flint North(engine block and heads)Saginaw Metal Casting Operations,epa_verified
Chevrolet big-block engine,Chevrolet big-block engine,base,Chevrolet,American,BIG,Naturally Aspirated,5702.7,5.7,,,99.9,76.2,,,,Naturally aspirated90V8,OHV2valvescyl.,CarburetorFuel injection(Since Gen. V),Cast iron,"Cast iron,aluminum",1958present,epa_verified
CA18DET,CA18DET,base,CA18DET,Other,CA,Turbocharged,1800.0,1.8,,,,,,,,,,,,,,epa_verified
Toyota UR engine (4.6L),Toyota UR engine,4.6L,Toyota,JDM,UR,Naturally Aspirated,4600.0,4.6,,,,,,,,90V8,DOHC4 valves x cyl.w/VVT-i,D-4S direct injection,Die-castaluminum,Aluminum,2006present,epa_verified
M270,M270,base,M270,Other,M,Naturally Aspirated,1500.0,1.5,,,,,,,,,,,,,,epa_verified
M264,M264,base,M264,Other,M,Naturally Aspirated,1500.0,1.5,,,,,,,,,,,,,,epa_verified
M177,M177,base,M177,Other,M,Naturally Aspirated,3982.0,4.0,,,,,,,,,,,,,,epa_verified
M159,M159,base,M159,Other,M,Naturally Aspirated,6200.0,6.2,,,,,,,,,,,,,,epa_verified
M157,M157,base,M157,Other,M,Naturally Aspirated,1800.0,1.8,,,,,,,,,,,,,,epa_verified
M156,M156,base,M156,Other,M,Naturally Aspirated,6208.0,6.2,,,,,,,,,,,,,,epa_verified
M840T,M840T,base,M840T,Other,M,Turbocharged,4000.0,4.0,,,,,,,,,,,,,,epa_verified
M838TQ,M838TQ,base,M838TQ,Other,M,Naturally Aspirated,3800.0,3.8,,,,,,,,,,,,,,epa_verified
M838T E,M838T E,base,M838T,Other,E,Naturally Aspirated,3800.0,3.8,,,,,,,,,,,,,,epa_verified
M54,M54,base,M54,Other,M,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
M52B28,M52B28,base,M52B28,Other,M,Naturally Aspirated,2800.0,2.8,,,,,,,,,,,,,,epa_verified
M52,M52,base,M52,Other,M,Naturally Aspirated,2800.0,2.8,,,,,,,,,,,,,,epa_verified
M51,M51,base,M51,Other,M,Naturally Aspirated,2800.0,2.8,,,,,,,,,,,,,,epa_verified
Mercedes-Benz M270/M274 engine (2.0L),Mercedes-Benz M270/M274 engine,2.0L,Mercedes-Benz,European,M,Naturally Aspirated,2000.0,2.0,,,,,,,,Inline 4,DOHC4 valves x cyl.withVVT,Direct injection,Aluminium alloy,Aluminium alloy,2011  present,epa_verified
Mercedes-Benz M270/M274 engine (1.6L),Mercedes-Benz M270/M274 engine,1.6L,Mercedes-Benz,European,M,Naturally Aspirated,1600.0,1.6,,,,,,,,Inline 4,DOHC4 valves x cyl.withVVT,Direct injection,Aluminium alloy,Aluminium alloy,2011  present,epa_verified
Mercedes-Benz M260/M264 engine (2.0L),Mercedes-Benz M260/M264 engine,2.0L,Mercedes-Benz,European,M,Naturally Aspirated,2000.0,2.0,,,,,,,,Inline-four engine,DOHC4 valvesx cyl. withVVT,Direct injection,Aluminium alloy,Aluminium alloy,2017present,epa_verified
M276,M276,base,M276,Other,M,Naturally Aspirated,1600.0,1.6,,,,,,,,,,,,,,epa_verified
M274,M274,base,M274,Other,M,Naturally Aspirated,1600.0,1.6,,,,,,,,,,,,,,epa_verified
M273,M273,base,M273,Other,M,Naturally Aspirated,1800.0,1.8,,,,,,,,,,,,,,epa_verified
M272,M272,base,M272,Other,M,Naturally Aspirated,1600.0,1.6,,,,,,,,,,,,,,epa_verified
M271,M271,base,M271,Other,M,Naturally Aspirated,1600.0,1.6,,,,,,,,,,,,,,epa_verified
VQ35HR,VQ35HR,base,VQ35HR,Other,VQ,Naturally Aspirated,3500.0,3.5,,,,,,,,,,,,,,epa_verified
VQ35DE,VQ35DE,base,VQ35DE,Other,VQ,Naturally Aspirated,3500.0,3.5,,,,,,,,,,,,,,epa_verified
Chevrolet small-block engine (first- and second-generation) (5.4L),Chevrolet small-block engine (first- and second-generation),5.4L,Chevrolet,American,SMALL,Naturally Aspirated,5400.0,5.4,,,88.9,76.2,,,,90V8,OHV2 valves  cyl.DOHC4 valves cyl. (LT5),"Carburetor,fuel injection","Cast iron,aluminum","Cast iron, aluminum",19542003Flint North(engine block and heads)Saginaw Metal Casting Operations,epa_verified
Chevrolet small-block engine (first- and second-generation) (5.0L),Chevrolet small-block engine (first- and second-generation),5.0L,Chevrolet,American,SMALL,Naturally Aspirated,5000.0,5.0,,,88.9,76.2,,,,90V8,OHV2 valves  cyl.DOHC4 valves cyl. (LT5),"Carburetor,fuel injection","Cast iron,aluminum","Cast iron, aluminum",19542003Flint North(engine block and heads)Saginaw Metal Casting Operations,epa_verified
Mercedes-Benz M260/M264 engine (1.5L),Mercedes-Benz M260/M264 engine,1.5L,Mercedes-Benz,European,M,Naturally Aspirated,1500.0,1.5,,,,,,,,Inline-four engine,DOHC4 valvesx cyl. withVVT,Direct injection,Aluminium alloy,Aluminium alloy,2017present,epa_verified
Mercedes-Benz M176/M177/M178 engine,Mercedes-Benz M176/M177/M178 engine,base,Mercedes-Benz,European,M,Naturally Aspirated,3982.0,4.0,,,,,,,,90V8,DOHC4 valvesx cyl.,Direct injection,"Cast-aluminium, closed deck",,2014present,epa_verified
Mercedes-Benz M156 engine,Mercedes-Benz M156 engine,base,Mercedes-Benz,European,M,Naturally Aspirated,6208.0,6.2,,,,,,,,Naturally aspirated90V8,DOHC4 valvesx cyl.,Sequential port injection,,,20052015 (M156)2009present (M159),epa_verified
Mercedes-Benz M113 engine (5.4L),Mercedes-Benz M113 engine,5.4L,Mercedes-Benz,European,M,Naturally Aspirated,5400.0,5.4,,,,,,,,90V8,SOHC3 valvesx cyl.,Sequential fuel injection,Aluminium,Aluminium,19972011,epa_verified
Mercedes-Benz M113 engine (5.0L),Mercedes-Benz M113 engine,5.0L,Mercedes-Benz,European,M,Naturally Aspirated,5000.0,5.0,,,,,,,,90V8,SOHC3 valvesx cyl.,Sequential fuel injection,Aluminium,Aluminium,19972011,epa_verified
Mercedes-Benz M113 engine (4.3L),Mercedes-Benz M113 engine,4.3L,Mercedes-Benz,European,M,Naturally Aspirated,4300.0,4.3,,,,,,,,90V8,SOHC3 valvesx cyl.,Sequential fuel injection,Aluminium,Aluminium,19972011,epa_verified
Mercedes-AMG M158,Mercedes-AMG M158,base,Mercedes-AMG,Other,M,Naturally Aspirated,6000.0,6.0,,,,,,,,,,,,,,epa_verified
McLaren M840T engine,McLaren M840T engine,base,McLaren,European,M,Turbocharged,3994.0,4.0,,,,,,,,90flat-plane V8,"32-valve (4 valves x cyl.),DOHC",Multi-point electronicindirect fuel injection,,,2017-present,epa_verified
McLaren 570S,McLaren 570S,base,McLaren,European,570S,Naturally Aspirated,3800.0,3.8,764.4,,,,,,201.2,"Rear mid-engine, rear-wheel drive",,,,,20152021,epa_verified
M73B54,M73B54,base,M73B54,Other,M,Naturally Aspirated,2800.0,2.8,,,,,,,,,,,,,,epa_verified
M67,M67,base,M67,Other,M,Naturally Aspirated,2800.0,2.8,,,,,,,,,,,,,,epa_verified
M62B44,M62B44,base,M62B44,Other,M,Naturally Aspirated,4398.0,4.4,,,,,,,,,,,,,,epa_verified
M62B35,M62B35,base,M62B35,Other,M,Naturally Aspirated,4398.0,4.4,,,,,,,,,,,,,,epa_verified
M60B40,M60B40,base,M60B40,Other,M,Naturally Aspirated,2800.0,2.8,,,,,,,,,,,,,,epa_verified
M60B30,M60B30,base,M60B30,Other,M,Naturally Aspirated,2800.0,2.8,,,,,,,,,,,,,,epa_verified
M57,M57,base,M57,Other,M,Naturally Aspirated,2800.0,2.8,,,,,,,,,,,,,,epa_verified
Subaru EJ engine (2.0L),Subaru EJ engine,2.0L,Subaru,JDM,EJ,Naturally Aspirated,2000.0,2.0,,,,,,,,Flat-four,DOHC/SOHC4 valvesx cyl. withAVCSorAVLS(some versions),"Carburetor,Fuel injection",EJ205,,19882021 (EJ20),epa_verified
WR16,WR16,base,WR16,Other,WR,Naturally Aspirated,8000.0,8.0,,,,,,,,,,,,,,epa_verified
SR20DET,SR20DET,base,SR20DET,Other,SR,Turbocharged,1800.0,1.8,,,,,,,,,,,,,,epa_verified
SR20DE,SR20DE,base,SR20DE,Other,SR,Naturally Aspirated,1800.0,1.8,,,,,,,,,,,,,,epa_verified
S63,S63,base,S63,Other,S,Naturally Aspirated,4400.0,4.4,,,,,,,,,,,,,,epa_verified
S62,S62,base,S62,Other,S,Naturally Aspirated,2800.0,2.8,,,,,,,,,,,,,,epa_verified
S54,S54,base,S54,Other,S,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
Mercedes-Benz M275 engine (5.5L),Mercedes-Benz M275 engine,5.5L,Mercedes-Benz,European,M,Turbocharged,5500.0,5.5,,,,,,,,60V12,SOHC3 valvesper cyl.,Fuel injection,Aluminium,Aluminium,20022015,epa_verified
Mercedes-Benz M273 engine (5.5L),Mercedes-Benz M273 engine,5.5L,Mercedes-Benz,European,M,Naturally Aspirated,5500.0,5.5,,,,,,,,Naturally aspirated90V8,DOHC4 valves x cyl.and continuousVVT,Sequential port injection,Aluminium,Aluminium,20052013,epa_verified
Mercedes-Benz M273 engine (4.7L),Mercedes-Benz M273 engine,4.7L,Mercedes-Benz,European,M,Naturally Aspirated,4700.0,4.7,,,,,,,,Naturally aspirated90V8,DOHC4 valves x cyl.and continuousVVT,Sequential port injection,Aluminium,Aluminium,20052013,epa_verified
Mercedes-Benz M272 engine (3.5L),Mercedes-Benz M272 engine,3.5L,Mercedes-Benz,European,M,Naturally Aspirated,3500.0,3.5,,,,,,,,Naturally aspirated90V6,DOHC4 valves x cyl.with continuousVVT,port injectionordirect injection (CGI),Aluminum,Aluminum,20042017,epa_verified
Mercedes-Benz M272 engine (3.0L),Mercedes-Benz M272 engine,3.0L,Mercedes-Benz,European,M,Naturally Aspirated,3000.0,3.0,,,,,,,,Naturally aspirated90V6,DOHC4 valves x cyl.with continuousVVT,port injectionordirect injection (CGI),Aluminum,Aluminum,20042017,epa_verified
Mercedes-Benz M272 engine (2.5L),Mercedes-Benz M272 engine,2.5L,Mercedes-Benz,European,M,Naturally Aspirated,2500.0,2.5,,,,,,,,Naturally aspirated90V6,DOHC4 valves x cyl.with continuousVVT,port injectionordirect injection (CGI),Aluminum,Aluminum,20042017,epa_verified
Mercedes-Benz M271 engine (1.8L),Mercedes-Benz M271 engine,1.8L,Mercedes-Benz,European,M,Naturally Aspirated,1800.0,1.8,,,,,,,,Straight-4,DOHC4 valves x cyl.andVVT,Sequential fuel injectionDirect injection,Cast aluminium,Aluminium,20022015,epa_verified
Mercedes-Benz M271 engine (1.6L),Mercedes-Benz M271 engine,1.6L,Mercedes-Benz,European,M,Naturally Aspirated,1600.0,1.6,,,,,,,,Straight-4,DOHC4 valves x cyl.andVVT,Sequential fuel injectionDirect injection,Cast aluminium,Aluminium,20022015,epa_verified
Mitsubishi 4B1 engine (2.0L),Mitsubishi 4B1 engine,2.0L,Mitsubishi,JDM,4B1,Naturally Aspirated,2000.0,2.0,187.7,,,,,,93.8,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,epa_verified
Mercedes-Benz OM651 engine (1.8L),Mercedes-Benz OM651 engine,1.8L,Mercedes-Benz,European,OM,Turbocharged,1800.0,1.8,,,,,,,,Inline-4,"DOHC, chain-driven and gears",Common rail,Cast iron,Aluminium alloy,2008present,epa_verified
Mercedes-Benz OM646 engine,Mercedes-Benz OM646 engine,base,Mercedes-Benz,European,OM,Naturally Aspirated,2148.0,2.1,,,,,,,,Inline-four engine,DOHC,Common rail,Cast iron,Aluminium alloy,20022010,epa_verified
N47,N47,base,N47,Other,N,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
N46,N46,base,N46,Other,N,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
N45,N45,base,N45,Other,N,Naturally Aspirated,2000.0,2.0,,,,,,,,,,,,,,epa_verified
Mercedes-Benz M278 engine (5.5L),Mercedes-Benz M278 engine,5.5L,Mercedes-Benz,European,M,Turbocharged,5500.0,5.5,,,,,,,,90V8,DOHC4 valvesx cyl. withVVT,Direct injection,Aluminium,,20102020,epa_verified
Mercedes-Benz M278 engine (4.7L),Mercedes-Benz M278 engine,4.7L,Mercedes-Benz,European,M,Turbocharged,4700.0,4.7,,,,,,,,90V8,DOHC4 valvesx cyl. withVVT,Direct injection,Aluminium,,20102020,epa_verified
Mercedes-Benz M276 engine,Mercedes-Benz M276 engine,base,Mercedes-Benz,European,M,Turbocharged,3498.0,3.5,,,,,,,,Naturally aspirated60V6,DOHCwithVVT,Direct injected,Aluminum,Aluminum,20102018,epa_verified
Mercedes-Benz M275 engine (6.0L),Mercedes-Benz M275 engine,6.0L,Mercedes-Benz,European,M,Turbocharged,6000.0,6.0,,,,,,,,60V12,SOHC3 valvesper cyl.,Fuel injection,Aluminium,Aluminium,20022015,epa_verified
Tipo F140 B,Tipo F140 B,base,Tipo,Other,F,Naturally Aspirated,6000.0,6.0,,,,,,,,,,,,,,epa_verified
Tipo F130B,Tipo F130B,base,Tipo,Other,F,Naturally Aspirated,4700.0,4.7,,,,,,,,,,,,,,epa_verified
Tipo F120A/F120D,Tipo F120A/F120D,base,Tipo,Other,F,Naturally Aspirated,2900.0,2.9,,,,,,,,,,,,,,epa_verified
Subaru FA engine (2.4L),Subaru FA engine,2.4L,Subaru,JDM,FA,Naturally Aspirated,2400.0,2.4,,,,,,,,Petrol/gasoline,DOHC4 valves x cyl.withAVCS,"Fuel injection,Direct injection",,,2012present,epa_verified
